model_name,response_threshold,radius_threshold,displacement_threshold,derived_radius_mae,derived_class_macro_f1,cluster_avg_radius_mae,cluster_avg_class_macro_f1
base_v5_seed42,0.4,6.0,2.0,19.873601750582125,0.3571290479386939,18.275413431183253,0.19221014919587082
base_v5_seed42,0.4,8.0,2.0,19.873601750582125,0.35718551851111596,18.275413431183253,0.19221261696880515
base_v5_seed42,0.4,10.0,2.0,19.873601750582125,0.357112797702428,18.275413431183253,0.19205367847419932
base_v5_seed42,0.4,12.0,2.0,19.873601750582125,0.35727507226722494,18.275413431183253,0.19202688189203318
base_v5_seed42,0.5,6.0,2.0,20.348219006614094,0.3571290479386939,19.82656855561317,0.19221014919587082
base_v5_seed42,0.5,8.0,2.0,20.348219006614094,0.35713085505229253,19.82656855561317,0.19220682140444031
base_v5_seed42,0.5,10.0,2.0,20.348219006614094,0.356901295550266,19.82656855561317,0.19192316472094223
base_v5_seed42,0.5,12.0,2.0,20.348219006614094,0.35711802032811346,19.82656855561317,0.19193701878522929
base_v5_seed42,0.6,6.0,2.0,21.212815241994445,0.3570353799179344,22.079653608037948,0.19166437041397288
base_v5_seed42,0.6,8.0,2.0,21.212815241994445,0.35703711495835444,22.079653608037948,0.19166104262254238
base_v5_seed42,0.6,10.0,2.0,21.212815241994445,0.35680724142316445,22.079653608037948,0.1913773859390443
base_v5_seed42,0.6,12.0,2.0,21.212815241994445,0.35702374335632103,22.079653608037948,0.19139124000333135
base_v5_seed42,0.7,6.0,2.0,22.00375130974296,0.3570236620988007,23.488880569554084,0.1901562619417634
base_v5_seed42,0.7,8.0,2.0,22.00375130974296,0.35702538816140766,23.488880569554084,0.19015293415033288
base_v5_seed42,0.7,10.0,2.0,22.00375130974296,0.3567954699351061,23.488880569554084,0.1898692774668348
base_v5_seed42,0.7,12.0,2.0,22.00375130974296,0.35695693950736224,23.488880569554084,0.18988031891018564
zero_response,0.1,6.0,0.5,26.34844304458337,0.029491038074250648,31.583223198606948,0.010374761195283466
zero_response,0.1,8.0,0.5,26.34844304458337,0.029491038074250648,31.583223198606948,0.010374761195283466
zero_response,0.1,10.0,0.5,26.34844304458337,0.029491038074250648,31.583223198606948,0.010374761195283466
zero_response,0.1,12.0,0.5,26.34844304458337,0.029491038074250648,31.583223198606948,0.010374761195283466
zero_response,0.2,6.0,0.5,26.34844304458337,0.029491038074250648,31.583223198606948,0.010374761195283466
zero_response,0.2,8.0,0.5,26.34844304458337,0.029491038074250648,31.583223198606948,0.010374761195283466
zero_response,0.2,10.0,0.5,26.34844304458337,0.029491038074250648,31.583223198606948,0.010374761195283466
zero_response,0.2,12.0,0.5,26.34844304458337,0.029491038074250648,31.583223198606948,0.010374761195283466
zero_response,0.3,6.0,0.5,26.34844304458337,0.029491038074250648,31.583223198606948,0.010374761195283466
zero_response,0.3,8.0,0.5,26.34844304458337,0.029491038074250648,31.583223198606948,0.010374761195283466
