factor,group,metric,reference,candidate,n_common_clusters,mean_diff,median_diff,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,n_clusters_improved,n_clusters_worsened,fraction_clusters_improved,weighted_mean_diff_by_n_samples,weighted_mean_diff_by_n_residues
substitution_size_group,large_to_small,mae_shell_0,shell_mean,base_v5,75,-0.26615802134927513,-0.3922528096923122,-0.3471124106288041,-0.1791796890910747,1.2879188101747895e-07,59,16,0.7866666666666666,-0.17019510167535157,-0.20498796162189567
substitution_size_group,large_to_small,mae_shell_1,shell_mean,base_v5,75,-0.14172252919900113,-0.16644483187368941,-0.1877647401078546,-0.09434357509234,9.065107008651066e-07,57,18,0.76,-0.052003641726093376,-0.07420530139904938
substitution_size_group,large_to_small,mae_shell_2,shell_mean,base_v5,75,-0.11761832650424338,-0.13846687808338748,-0.15533408178612035,-0.07855556953786232,7.708707711586435e-07,54,21,0.72,-0.0072133576707899836,-0.008633366258618614
substitution_size_group,large_to_small,mae_shell_3,shell_mean,base_v5,75,-0.0994695829365777,-0.1155741241683364,-0.1314014174035626,-0.06733010491665514,6.729769600269054e-07,57,18,0.76,0.016393296199023858,0.01518606993593028
substitution_size_group,large_to_small,mae_shell_4,shell_mean,base_v5,75,-0.1529979506385152,-0.15706858373506893,-0.18947036017067018,-0.1155734733153521,3.6708343411674816e-09,63,12,0.84,0.024433301457508952,0.025755181094729015
substitution_size_group,large_to_small,perturbed_auroc,shell_mean,base_v5,69,0.2782854988425152,0.2912829907464517,0.2460377238829229,0.31002286172509586,1.0490408942546125e-12,65,4,0.9420289855072463,0.23768043637187933,0.23705943199796847
substitution_size_group,large_to_small,perturbed_auprc,shell_mean,base_v5,69,0.2364345779364551,0.22514815036919616,0.19758357174094524,0.277348312825369,1.0955552561490413e-12,67,2,0.9710144927536232,0.20767361604303236,0.21160129824203128
substitution_size_group,large_to_small,radius_mae,shell_mean,base_v5,75,-4.752741708771549,0.0,-8.23088650916535,-1.577825656967716,0.00010570138692855835,25,3,0.3333333333333333,-18.320599273344936,-19.56590323956556
substitution_size_group,large_to_small,class_correct,shell_mean,base_v5,75,0.08809034122452178,0.0,-0.006496607966441301,0.18401313902001937,0.09010361517564831,18,11,0.24,0.49847560975609756,0.5359359339310124
substitution_size_group,large_to_small,class_macro_f1,shell_mean,base_v5,75,0.029363447074840583,0.0,-0.0021655359888137654,0.06133771300667312,0.09010361517564831,18,11,0.24,0.16615853658536586,0.17864531131033742
