model_name,factor,group,metric,sample_mean,cluster_mean,sample_weighted_cluster_mean,residue_weighted_cluster_mean,n_samples,n_clusters,n_residues,n_valid_samples,bootstrap_ci_low,bootstrap_ci_high
MuSRNet,charge_group,neutral_to_charged,radius_mae,40.14642297530434,44.02619992638093,40.14642297530434,43.64379421972983,4036,9,876549,4036,27.198750623075725,68.27067239612596
MuSRNet,charge_group,neutral_to_charged,class_correct,0.005946481665014866,0.16848061733192418,0.005946481665014866,0.005163827099347669,4036,9,876549,4036,0.0015192262326020288,0.3911488558622317
MuSRNet,charge_group,neutral_to_charged,class_macro_f1,0.0019821605550049554,0.05616020577730804,0.0019821605550049554,0.0017212756997825565,4036,9,876549,4036,0.0005064087442006762,0.13038295195407723
MuSRNet,charge_group,neutral_to_charged,non_local_f1,0.0009910802775024777,0.1111111111111111,0.0009910802775024777,0.0014648353942563394,4036,9,876549,4036,0.0,0.3333333333333333
MuSRNet,charge_group,neutral_to_charged,non_local_recall,0.00099626400996264,0.1111111111111111,0.00099626400996264,0.001470399618887077,4036,9,876549,4015,0.0,0.3333333333333333
MuSRNet,charge_group,charged_to_neutral,global_mae,0.35233900927048595,0.30855358837962077,0.35233900927048584,0.35738768228846973,10065,52,2574864,10065,0.23175304850088443,0.4107467104593553
MuSRNet,charge_group,charged_to_neutral,shell_mae,0.39200222430304693,0.30538840676743323,0.39200222430304693,0.35277177778552704,10065,52,2574864,10065,0.2385905344816677,0.3816843101319201
MuSRNet,charge_group,charged_to_neutral,mae_shell_0,0.6307953136367778,0.3832509714174054,0.6307953136367777,0.45346937824583633,10065,52,2574864,10065,0.2478170315561566,0.5798101660440388
MuSRNet,charge_group,charged_to_neutral,mae_shell_1,0.40770622059531497,0.3067284778546541,0.40770622059531497,0.36425835146645086,10065,52,2574864,10065,0.22715486672732446,0.4060543641839952
MuSRNet,charge_group,charged_to_neutral,mae_shell_2,0.28478311855913224,0.2678136106498041,0.2847831185591323,0.2906887930504185,10065,52,2574864,10065,0.21075164932811682,0.33298803954911066
MuSRNet,charge_group,charged_to_neutral,mae_shell_3,0.27608160642591834,0.2503743883851652,0.2760816064259183,0.2809031293392456,10065,52,2574864,10065,0.19774288351871055,0.3162032959724807
MuSRNet,charge_group,charged_to_neutral,mae_shell_4,0.36064486229809145,0.31877458553013704,0.36064486229809145,0.3745392368256835,10065,52,2574864,10065,0.23363169579245993,0.4333612301355148
MuSRNet,charge_group,charged_to_neutral,perturbed_auroc,0.8224550516241701,0.8084233274997067,0.82245505162417,0.8267724538132364,10065,52,2574864,9582,0.7800674523070913,0.8366909877423608
MuSRNet,charge_group,charged_to_neutral,perturbed_auprc,0.36491181818475554,0.3225779874184635,0.36491181818475554,0.36706532010131454,10065,52,2574864,9582,0.2619466570644268,0.38492996483160075
MuSRNet,charge_group,charged_to_neutral,radius_mae,27.692965051752385,26.471015507676647,27.692965051752385,32.00484677815992,10065,52,2574864,10065,22.030752740710618,30.87872064585302
MuSRNet,charge_group,charged_to_neutral,class_correct,0.27332339791356186,0.26725701725386375,0.27332339791356186,0.22588312202653085,10065,52,2574864,10065,0.1737458915068165,0.3688726665456802
MuSRNet,charge_group,charged_to_neutral,class_macro_f1,0.09110779930452062,0.08908567241795456,0.09110779930452062,0.07529437400884362,10065,52,2574864,10065,0.05791529716893881,0.12295755551522669
MuSRNet,charge_group,charged_to_neutral,non_local_f1,0.2448087431693989,0.183658378580352,0.2448087431693989,0.19247881844082695,10065,52,2574864,10065,0.09596661474585616,0.28183969701540507
MuSRNet,charge_group,charged_to_neutral,non_local_recall,0.25765973021018507,0.2355033326369618,0.25765973021018507,0.20329934536705474,10065,52,2574864,9563,0.1247704619177027,0.35633291764948716
MuSRNet,charge_group,positive_to_negative,global_mae,0.3452199397504264,0.3125186395067372,0.3452199397504264,0.3452847161988645,789,2,81187,789,,
MuSRNet,charge_group,positive_to_negative,shell_mae,0.3847509049789399,0.30123124287976993,0.3847509049789399,0.3849163451004402,789,2,81187,789,,
MuSRNet,charge_group,positive_to_negative,mae_shell_0,0.5166707612860539,0.35107910753941585,0.516670761286054,0.516998773907594,789,2,81187,789,,
MuSRNet,charge_group,positive_to_negative,mae_shell_1,0.31661244867787386,0.2422306178208844,0.31661244867787386,0.31675978810460415,789,2,81187,789,,
MuSRNet,charge_group,positive_to_negative,mae_shell_2,0.22319185463231594,0.1694153554548733,0.22319185463231597,0.2232983779387347,789,2,81187,789,,
MuSRNet,charge_group,positive_to_negative,mae_shell_3,0.563206601008566,0.3823906402288003,0.563206601008566,0.5635647707349363,789,2,81187,789,,
MuSRNet,charge_group,positive_to_negative,mae_shell_4,0.30407285928988975,0.361040493354876,0.30407285928988975,0.30396001481633206,789,2,81187,789,,
MuSRNet,charge_group,positive_to_negative,perturbed_auroc,0.8544039975202988,0.8595236343414336,0.8544039975202988,0.8543938562755137,789,2,81187,789,,
MuSRNet,charge_group,positive_to_negative,perturbed_auprc,0.38879074708654326,0.3813303897681055,0.38879074708654326,0.388805524953098,789,2,81187,789,,
MuSRNet,charge_group,positive_to_negative,radius_mae,28.26884663633823,25.643860685749416,28.26884663633823,28.274046346007626,789,2,81187,789,,
MuSRNet,charge_group,positive_to_negative,class_correct,0.0,0.0,0.0,0.0,789,2,81187,789,,
MuSRNet,charge_group,positive_to_negative,class_macro_f1,0.0,0.0,0.0,0.0,789,2,81187,789,,
MuSRNet,charge_group,positive_to_negative,non_local_f1,0.0,0.0,0.0,0.0,789,2,81187,789,,
MuSRNet,charge_group,positive_to_negative,non_local_recall,0.0,0.0,0.0,0.0,789,2,81187,789,,
MuSRNet,charge_group,charged_to_charged_same_sign,global_mae,0.3026239072002493,0.24571713969348696,0.3026239072002493,0.3652576451502712,1490,7,340700,1490,0.15447763414282029,0.35145167183648296
MuSRNet,charge_group,charged_to_charged_same_sign,shell_mae,0.3250386000694508,0.24593288278709627,0.3250386000694508,0.34415701553213385,1490,7,340700,1490,0.16583866158288735,0.3342172262378697
MuSRNet,charge_group,charged_to_charged_same_sign,mae_shell_0,0.5305835033429399,0.3983325517095693,0.5305835033429399,0.5077526176629851,1490,7,340700,1490,0.23640483202982523,0.5925006008081569
MuSRNet,charge_group,charged_to_charged_same_sign,mae_shell_1,0.3494109224025583,0.2223639685760949,0.3494109224025584,0.3349795281203091,1490,7,340700,1490,0.1350095018428859,0.3115317230644744
MuSRNet,charge_group,charged_to_charged_same_sign,mae_shell_2,0.21978776438351508,0.17810285929061015,0.21978776438351508,0.2500713485302538,1490,7,340700,1490,0.12262446578336604,0.23779496537987338
MuSRNet,charge_group,charged_to_charged_same_sign,mae_shell_3,0.21694493993849404,0.17240644037704067,0.2169449399384941,0.24287261675179664,1490,7,340700,1490,0.1267353898270295,0.22645038003113213
MuSRNet,charge_group,charged_to_charged_same_sign,mae_shell_4,0.30846587027974665,0.2584585939821663,0.30846587027974653,0.3851089665953246,1490,7,340700,1490,0.1556316592071183,0.3773802941610543
MuSRNet,charge_group,charged_to_charged_same_sign,perturbed_auroc,0.827576302880386,0.8497824350384724,0.827576302880386,0.8093410395559404,1490,7,340700,993,0.8027487660375352,0.897322619002875
MuSRNet,charge_group,charged_to_charged_same_sign,perturbed_auprc,0.3405501203208351,0.3346858068939595,0.34055012032083515,0.3518052107328478,1490,7,340700,993,0.2504856348492208,0.42510026981383575
MuSRNet,charge_group,charged_to_charged_same_sign,radius_mae,22.33076797683767,22.469698351369235,22.33076797683767,31.471144075520144,1490,7,340700,1490,9.731586936294814,37.848643125283466
MuSRNet,charge_group,charged_to_charged_same_sign,class_correct,0.2912751677852349,0.40450681910190706,0.2912751677852349,0.3517647707985535,1490,7,340700,1490,0.13377945210006278,0.6710264373307852
MuSRNet,charge_group,charged_to_charged_same_sign,class_macro_f1,0.0970917225950783,0.13483560636730232,0.0970917225950783,0.11725492359951784,1490,7,340700,1490,0.044593150700020935,0.2236754791102617
MuSRNet,charge_group,charged_to_charged_same_sign,non_local_f1,0.2342281879194631,0.18904284121675424,0.2342281879194631,0.31684234929790756,1490,7,340700,1490,0.0,0.4014970536709667
MuSRNet,charge_group,charged_to_charged_same_sign,non_local_recall,0.3539553752535497,0.21767416644076984,0.3539553752535497,0.38284908042670684,1490,7,340700,986,0.0,0.48495527243155323
MuSRNet,charge_group,negative_to_positive,global_mae,0.32836060419887136,0.20875991141095068,0.3283606041988715,0.3277140032794975,650,5,199208,650,0.137506570611146,0.28609145461300045
MuSRNet,charge_group,negative_to_positive,shell_mae,0.4428299886389228,0.2512250049824819,0.44282998863892276,0.44189823185310706,650,5,199208,650,0.14970334843331093,0.3709033951191726
MuSRNet,charge_group,negative_to_positive,mae_shell_0,0.7381812977466065,0.4120619907546961,0.7381812977466063,0.7365039558911121,650,5,199208,650,0.22824233675996464,0.6194935966736843
MuSRNet,charge_group,negative_to_positive,mae_shell_1,0.49169759935391183,0.231836279316118,0.49169759935391183,0.4907022318854895,650,5,199208,650,0.133611826324525,0.3776185158091777
MuSRNet,charge_group,negative_to_positive,mae_shell_2,0.3224601491434857,0.2032591333074773,0.3224601491434857,0.32179242414829784,650,5,199208,650,0.12566498353877692,0.28085328307617774
MuSRNet,charge_group,negative_to_positive,mae_shell_3,0.34092492761742715,0.20335786853134205,0.34092492761742715,0.34021491482544547,650,5,199208,650,0.12029432508288602,0.2898408623569126
MuSRNet,charge_group,negative_to_positive,mae_shell_4,0.3208859693331829,0.20560975300277606,0.3208859693331829,0.320277632515191,650,5,199208,650,0.13900535272768133,0.27958763986923574
MuSRNet,charge_group,negative_to_positive,perturbed_auroc,0.8449069262495664,0.8804489606036933,0.8449069262495664,0.8449684005182307,650,5,199208,632,,
MuSRNet,charge_group,negative_to_positive,perturbed_auprc,0.3520755728993579,0.37958416006682955,0.3520755728993579,0.3521105495229946,650,5,199208,632,,
MuSRNet,charge_group,negative_to_positive,radius_mae,54.80059739039494,22.70433834264692,54.80059739039494,54.705929721468614,650,5,199208,650,11.56354026794434,40.54101129462371
MuSRNet,charge_group,negative_to_positive,class_correct,0.043076923076923075,0.3959434475258292,0.043076923076923075,0.045255504893450926,650,5,199208,650,0.06522022838499185,0.7359434475258293
MuSRNet,charge_group,negative_to_positive,class_macro_f1,0.014358974358974357,0.1319811491752764,0.014358974358974357,0.015085168297816975,650,5,199208,650,0.021740076128330614,0.2453144825086097
MuSRNet,charge_group,negative_to_positive,non_local_f1,0.03230769230769231,0.3026101141924959,0.03230769230769231,0.033781400774473114,650,5,199208,650,0.0026101141924959217,0.7
MuSRNet,charge_group,negative_to_positive,non_local_recall,0.03333333333333333,0.5032679738562091,0.03333333333333333,0.03477617908839053,650,5,199208,630,,
MuSRNet,charge_binary_group,no_charge_involved,global_mae,0.4930688078232569,0.5422519575751317,0.4930688078232569,0.4778555478317463,28951,57,8597473,28951,0.3114320434474071,0.8694176658862148
MuSRNet,charge_binary_group,no_charge_involved,shell_mae,0.40326267719003445,0.609811276066689,0.4032626771900345,0.3797592658285236,28951,57,8597473,28951,0.3750281773072465,0.9358016266363202
MuSRNet,charge_binary_group,no_charge_involved,mae_shell_0,0.4284694453429935,0.7804708979080107,0.4284694453429935,0.38188657717369273,28951,57,8597473,28951,0.49965488558921645,1.125859063777461
MuSRNet,charge_binary_group,no_charge_involved,mae_shell_1,0.35400347959092476,0.6783985841229062,0.35400347959092476,0.33275285562937684,28951,57,8597473,28951,0.3972322224521963,1.0702089042852572
MuSRNet,charge_binary_group,no_charge_involved,mae_shell_2,0.33801944730373007,0.5224748326391503,0.33801944730373007,0.319324470733193,28951,57,8597473,28951,0.3099678038866973,0.8200107297056968
MuSRNet,charge_binary_group,no_charge_involved,mae_shell_3,0.34406162755460096,0.520429395409265,0.3440616275546009,0.3266276710318633,28951,57,8597473,28951,0.3041363471840425,0.8129644219744744
MuSRNet,charge_binary_group,no_charge_involved,mae_shell_4,0.551759386157923,0.5472826702541127,0.551759386157923,0.5382047545744921,28951,57,8597473,28951,0.3059973889946938,0.88464334969331
MuSRNet,charge_binary_group,no_charge_involved,perturbed_auroc,0.8115261934085908,0.8111618502136361,0.8115261934085911,0.8117440463050127,28951,57,8597473,28657,0.7708882273406156,0.848005226688323
MuSRNet,charge_binary_group,no_charge_involved,perturbed_auprc,0.4402879640333662,0.4379878211590098,0.4402879640333663,0.4329800615402565,28951,57,8597473,28657,0.37505104337270234,0.5020825245445205
MuSRNet,charge_binary_group,no_charge_involved,radius_mae,24.91049499713647,24.416084850796985,24.91049499713647,25.281850638176028,28951,57,8597473,28951,20.023387421121328,29.00159822450166
MuSRNet,charge_binary_group,no_charge_involved,class_correct,0.5479948879140617,0.33602239237996334,0.5479948879140617,0.5582088470937498,28951,57,8597473,28951,0.23426321234643335,0.44405913059727725
MuSRNet,charge_binary_group,no_charge_involved,class_macro_f1,0.1826649626380205,0.11200746412665445,0.1826649626380206,0.18606961569791666,28951,57,8597473,28951,0.0780877374488111,0.14801971019909238
MuSRNet,charge_binary_group,no_charge_involved,non_local_f1,0.5425373907637042,0.23979945144079276,0.5425373907637042,0.5525061966739794,28951,57,8597473,28951,0.13909132174720396,0.3458256255739028
MuSRNet,charge_binary_group,no_charge_involved,non_local_recall,0.5472822299651567,0.26318525448063795,0.5472822299651567,0.5573920193271866,28951,57,8597473,28700,0.15613341821898924,0.3813089115009259
MuSRNet,charge_binary_group,charge_involved,global_mae,0.351684952061521,0.3381870016341688,0.35168495206152095,0.37300013547564065,17030,59,4072508,17030,0.25342308330678304,0.44169047019222607
MuSRNet,charge_binary_group,charge_involved,shell_mae,0.37946107071518725,0.33222158591480655,0.37946107071518725,0.37063289326679655,17030,59,4072508,17030,0.2544184453098517,0.42485366343897435
MuSRNet,charge_binary_group,charge_involved,mae_shell_0,0.5685073694278209,0.3982337226089106,0.5685073694278209,0.47760092486812605,17030,59,4072508,17030,0.2811856388666431,0.5370349359066299
MuSRNet,charge_binary_group,charge_involved,mae_shell_1,0.3972860051147626,0.3335589536908596,0.3972860051147626,0.38890101299271695,17030,59,4072508,17030,0.24333250728849717,0.44570864426464657
MuSRNet,charge_binary_group,charge_involved,mae_shell_2,0.28114029248583305,0.2964723087272626,0.2811402924858331,0.30229747747468916,17030,59,4072508,17030,0.22526485102150848,0.3811675698728058
MuSRNet,charge_binary_group,charge_involved,mae_shell_3,0.2928135027818113,0.2808827232786477,0.29281350278181134,0.29670117681814595,17030,59,4072508,17030,0.21529268316417288,0.35960408399127586
MuSRNet,charge_binary_group,charge_involved,mae_shell_4,0.35755818376570836,0.35196022126835225,0.35755818376570836,0.38766387418030457,17030,59,4072508,17030,0.26072985809362625,0.4640275173985891
MuSRNet,charge_binary_group,charge_involved,perturbed_auroc,0.8319388863310712,0.8139455665421027,0.8319388863310713,0.8284465382368339,17030,59,4072508,16011,0.7862149671078928,0.8411209356116058
MuSRNet,charge_binary_group,charge_involved,perturbed_auprc,0.36458031323217405,0.35330560258778027,0.3645803132321742,0.36951987452366303,17030,59,4072508,16011,0.29912589116246796,0.4097758917411475
MuSRNet,charge_binary_group,charge_involved,radius_mae,31.236524307664816,27.939651913275767,31.236524307664816,35.49336460343575,17030,59,4072508,17030,22.925791424900336,33.53933611581991
MuSRNet,charge_binary_group,charge_involved,class_correct,0.1900763358778626,0.2782161574505925,0.1900763358778626,0.17576984814272742,17030,59,4072508,17030,0.18795288166622653,0.3747024843302249
MuSRNet,charge_binary_group,charge_involved,class_macro_f1,0.0633587786259542,0.0927387191501975,0.06335877862595418,0.05858994938090914,17030,59,4072508,17030,0.06265096055540885,0.12490082811007497
MuSRNet,charge_binary_group,charge_involved,non_local_f1,0.1666470933646506,0.18186106375294536,0.1666470933646506,0.15036410269604855,17030,59,4072508,17030,0.09685768520572903,0.2744844816311121
MuSRNet,charge_binary_group,charge_involved,non_local_recall,0.1775636613902271,0.23193750006838923,0.1775636613902271,0.15834663435403248,17030,59,4072508,15983,0.13065899114923826,0.34339615548757735
MuSRNet,glypro_group,no_gly_or_pro,global_mae,0.4508207863700135,0.44080906883294196,0.4508207863700135,0.45025296297398126,40753,96,11384104,40753,0.30819030486075005,0.6297795211686489
MuSRNet,glypro_group,no_gly_or_pro,shell_mae,0.40815629311128965,0.4637117854255031,0.4081562931112896,0.38578208258197355,40753,96,11384104,40753,0.33644837130995214,0.6448824569303983
MuSRNet,glypro_group,no_gly_or_pro,mae_shell_0,0.49864094317384783,0.5686156319962267,0.4986409431738477,0.41998190507551114,40753,96,11384104,40753,0.41089704348989925,0.7585764011247571
MuSRNet,glypro_group,no_gly_or_pro,mae_shell_1,0.3909610358811806,0.494816213013042,0.39096103588118064,0.3677508620783035,40753,96,11384104,40753,0.3403646028417522,0.7119371205135238
MuSRNet,glypro_group,no_gly_or_pro,mae_shell_2,0.32978128252082006,0.40465746916313927,0.32978128252082006,0.3237524528472662,40753,96,11384104,40753,0.2900742018609685,0.5679354736594179
MuSRNet,glypro_group,no_gly_or_pro,mae_shell_3,0.32990765659599547,0.397564030567862,0.3299076565959955,0.3201769300002612,40753,96,11384104,40753,0.2793975789855304,0.5611339992093937
MuSRNet,glypro_group,no_gly_or_pro,mae_shell_4,0.49149054738460407,0.4529055823872461,0.49149054738460407,0.4972482629085261,40753,96,11384104,40753,0.31272333702409816,0.6496580912533352
MuSRNet,glypro_group,no_gly_or_pro,perturbed_auroc,0.8158858048366986,0.808946796978703,0.8158858048366987,0.8153204569615105,40753,96,11384104,39491,0.7833044373228271,0.8335444036159015
MuSRNet,glypro_group,no_gly_or_pro,perturbed_auprc,0.4184660346783046,0.38283194344831306,0.4184660346783046,0.4160934548023354,40753,96,11384104,39491,0.33565944771068734,0.43058374144922373
MuSRNet,glypro_group,no_gly_or_pro,radius_mae,25.74148763379498,26.627530838963494,25.74148763379498,27.06474266957916,40753,96,11384104,40753,22.746673036238665,30.73507971531506
MuSRNet,glypro_group,no_gly_or_pro,class_correct,0.45976983289573775,0.306385255422912,0.45976983289573775,0.4777957025865706,40753,96,11384104,40753,0.2325379965155117,0.3856766870868598
MuSRNet,glypro_group,no_gly_or_pro,class_macro_f1,0.1532566109652459,0.10212841847430398,0.15325661096524595,0.1592652341955235,40753,96,11384104,40753,0.07751266550517057,0.12855889569561993
MuSRNet,glypro_group,no_gly_or_pro,non_local_f1,0.4473535690624003,0.2144582480522695,0.4473535690624003,0.4656359601167234,40753,96,11384104,40753,0.14415171911409433,0.29230105082770874
MuSRNet,glypro_group,no_gly_or_pro,non_local_recall,0.4613691003416424,0.24609308736112673,0.4613691003416424,0.47662007826300623,40753,96,11384104,39515,0.16581724935698708,0.33247043758833383
MuSRNet,glypro_group,gly_or_pro_involved,global_mae,0.36184588407835766,0.21325568885475873,0.36184588407835766,0.3900632673042183,5228,11,1285877,5228,0.15989851633905422,0.2771380810038876
MuSRNet,glypro_group,gly_or_pro_involved,shell_mae,0.2875834713932557,0.24479535725809162,0.2875834713932557,0.29792675332622004,5228,11,1285877,5228,0.1577392749750201,0.36670717520672796
MuSRNet,glypro_group,gly_or_pro_involved,mae_shell_0,0.3376405999076084,0.44131528094223643,0.3376405999076084,0.34869996200751563,5228,11,1285877,5228,0.18248417560638164,0.8387105672091116
